0 "General Store" {
<id:18349, amount:2126432612, price:600, currency:pk>
<id:18351, amount:2126432612, price:600, currency:pk>
<id:18353, amount:2126432612, price:600, currency:pk>
<id:18355, amount:2126432612, price:600, currency:pk>
<id:18357, amount:2126432612, price:600, currency:pk>
<id:18359, amount:2126432612, price:500, currency:pk>
<id:18361, amount:2126432612, price:500, currency:pk>
<id:11283, amount:2126432612, price:250, currency:pk>
<id:4151, amount:2126432612, price:100, currency:pk>
<id:6570, amount:2126432612, price:150, currency:pk>
<id:23639, amount:2126432612, price:400, currency:pk>
<id:15486, amount:2126432612, price:100, currency:pk>
<id:6731, amount:2126432612, price:50, currency:pk>
<id:6733, amount:2126432612, price:50, currency:pk>
<id:6735, amount:2126432612, price:50, currency:pk>
<id:6737, amount:2126432612, price:50, currency:pk>
<id:20072, amount:2126432612, price:300, currency:pk>
<id:8850, amount:2126432612, price:50, currency:pk>
<id:10551, amount:2126432612, price:100, currency:pk>
<id:10548, amount:2126432612, price:85, currency:pk>
<id:15272, amount:2126432612, price:10, currency:pk>
}

6 "Pest Control Shop" {
<id:8841, amount:2126432612, price:120, currency:pest>
<id:11663, amount:2126432612, price:120, currency:pest>
<id:11664, amount:2126432612, price:120, currency:pest>
<id:11665, amount:2126432612, price:120, currency:pest>
<id:8839, amount:2126432612, price:120, currency:pest>
<id:8840, amount:2126432612, price:120, currency:pest>
<id:8842, amount:2126432612, price:120, currency:pest>
<id:10548, amount:2126432612, price:160, currency:pest>
<id:10551, amount:2126432612, price:200, currency:pest>
<id:8844, amount:2126432612, price:10, currency:pest>
<id:8845, amount:2126432612, price:20, currency:pest>
<id:8846, amount:2126432612, price:30, currency:pest>
<id:8847, amount:2126432612, price:40, currency:pest>
<id:8848, amount:2126432612, price:50, currency:pest>
<id:8849, amount:2126432612, price:70, currency:pest>
<id:8850, amount:2126432612, price:120, currency:pest>
<id:6918, amount:2126432612, price:100, currency:pest>
<id:6916, amount:2126432612, price:100, currency:pest>
<id:6924, amount:2126432612, price:100, currency:pest>
<id:6922, amount:2126432612, price:100, currency:pest>
<id:6920, amount:2126432612, price:100, currency:pest>
}

7 "Food & Potion" {
<id:229, amount:100, price:0, currency:coins>
<id:379, amount:100, price:350, currency:coins>
<id:380, amount:100, price:350, currency:coins>
<id:373, amount:100, price:450, currency:coins>
<id:374, amount:100, price:450, currency:coins>
<id:385, amount:100, price:1500, currency:coins>
<id:386, amount:100, price:1500, currency:coins>
<id:6685, amount:100, price:10k, currency:coins>
<id:6686, amount:100, price:10k, currency:coins>
<id:2436, amount:100, price:1500, currency:coins>
<id:2437, amount:100, price:1500, currency:coins>
<id:2440, amount:100, price:2k, currency:coins>
<id:2441, amount:100, price:2k, currency:coins>
<id:2442, amount:100, price:1k, currency:coins>
<id:2443, amount:100, price:1k, currency:coins>
<id:3040, amount:100, price:5k, currency:coins>
<id:3041, amount:100, price:5k, currency:coins>
<id:2444, amount:100, price:4k, currency:coins>
<id:2445, amount:100, price:4k, currency:coins>
<id:3024, amount:100, price:8k, currency:coins>
<id:3025, amount:100, price:8k, currency:coins>
<id:2434, amount:100, price:5k, currency:coins>
<id:2435, amount:100, price:5k, currency:coins>
<id:2452, amount:100, price:3k, currency:coins>
<id:2453, amount:100, price:3k, currency:coins>
<id:4045, amount:100, price:5k, currency:coins>

}

8 "Magic Equipment" {
<id:9075, amount:2126432612, price:250, currency:coins>
<id:554, amount:2126432612, price:3, currency:coins>
<id:555, amount:2126432612, price:12, currency:coins>
<id:556, amount:2126432612, price:7, currency:coins>
<id:557, amount:2126432612, price:30, currency:coins>
<id:558, amount:2126432612, price:5, currency:coins>
<id:559, amount:2126432612, price:6, currency:coins>
<id:565, amount:2126432612, price:250, currency:coins>
<id:566, amount:2126432612, price:650, currency:coins>
<id:4675, amount:2126432612, price:63k, currency:coins>
<id:1381, amount:2126432612, price:5k, currency:coins>
<id:1383, amount:2126432612, price:5k, currency:coins>
<id:1385, amount:2126432612, price:5k, currency:coins>
<id:1387, amount:2126432612, price:5k, currency:coins>
<id:2890, amount:2126432612, price:3k, currency:coins>
<id:4089, amount:2126432612, price:25k, currency:coins>
<id:4091, amount:2126432612, price:55k, currency:coins>
<id:4093, amount:2126432612, price:45k, currency:coins>
<id:4095, amount:2126432612, price:15k, currency:coins>
<id:4097, amount:2126432612, price:10k, currency:coins>
<id:4099, amount:2126432612, price:25k, currency:coins>
<id:4101, amount:2126432612, price:55k, currency:coins>
<id:4103, amount:2126432612, price:45k, currency:coins>
<id:4105, amount:2126432612, price:15k, currency:coins>
<id:4107, amount:2126432612, price:10k, currency:coins>
<id:4109, amount:2126432612, price:25k, currency:coins>
<id:4111, amount:2126432612, price:55k, currency:coins>
<id:4113, amount:2126432612, price:45k, currency:coins>
<id:4115, amount:2126432612, price:15k, currency:coins>
<id:4117, amount:2126432612, price:10k, currency:coins>
}

9 "Melee Equipment" {
<id:1153, amount:2126432612, price:1k, currency:coins>
<id:1115, amount:2126432612, price:1k, currency:coins>
<id:1067, amount:2126432612, price:1k, currency:coins>
<id:1101, amount:2126432612, price:1k, currency:coins>
<id:1081, amount:2126432612, price:1k, currency:coins>
<id:1191, amount:2126432612, price:1k, currency:coins>
<id:7455, amount:2126432612, price:1k, currency:coins>
<id:4121, amount:2126432612, price:1k, currency:coins>
<id:10828, amount:2126432612, price:55k, currency:coins>
<id:1159, amount:2126432612, price:10k, currency:coins>
<id:1121, amount:2126432612, price:10k, currency:coins>
<id:1071, amount:2126432612, price:10k, currency:coins>
<id:1109, amount:2126432612, price:10k, currency:coins>
<id:1085, amount:2126432612, price:10k, currency:coins>
<id:1197, amount:2126432612, price:10k, currency:coins>
<id:7458, amount:2126432612, price:10k, currency:coins>
<id:4127, amount:2126432612, price:10k, currency:coins>
<id:3751, amount:2126432612, price:45k, currency:coins>
<id:1161, amount:2126432612, price:15k, currency:coins>
<id:1123, amount:2126432612, price:15k, currency:coins>
<id:1073, amount:2126432612, price:15k, currency:coins>
<id:1111, amount:2126432612, price:15k, currency:coins>
<id:1091, amount:2126432612, price:15k, currency:coins>
<id:1199, amount:2126432612, price:15k, currency:coins>
<id:7459, amount:2126432612, price:15k, currency:coins>
<id:4129, amount:2126432612, price:15k, currency:coins>
<id:3753, amount:2126432612, price:45k, currency:coins>
<id:1163, amount:2126432612, price:25k, currency:coins>
<id:1127, amount:2126432612, price:50k, currency:coins>
<id:1079, amount:2126432612, price:40k, currency:coins>
<id:1113, amount:2126432612, price:30k, currency:coins>
<id:1093, amount:2126432612, price:40k, currency:coins>
<id:1201, amount:2126432612, price:35k, currency:coins>
<id:7460, amount:2126432612, price:20k, currency:coins>
<id:4131, amount:2126432612, price:45k, currency:coins>
<id:3755, amount:2126432612, price:50k, currency:coins>
}

10 "Range Equipment" {
<id:841, amount:2126432612, price:10, currency:coins>
<id:853, amount:2126432612, price:350, currency:coins>
<id:861, amount:2126432612, price:10k, currency:coins>
<id:884, amount:2126432612, price:50, currency:coins>
<id:888, amount:2126432612, price:75, currency:coins>
<id:890, amount:2126432612, price:125, currency:coins>
<id:892, amount:2126432612, price:250, currency:coins>
<id:9185, amount:2126432612, price:10k, currency:coins>
<id:9142, amount:2126432612, price:75, currency:coins>
<id:9243, amount:2126432612, price:850, currency:coins>
<id:9242, amount:2126432612, price:2k, currency:coins>
<id:9144, amount:2126432612, price:1k, currency:coins>
<id:9244, amount:2126432612, price:3k, currency:coins>
<id:863, amount:2126432612, price:15, currency:coins>
<id:807, amount:2126432612, price:20, currency:coins>
<id:868, amount:2126432612, price:1k, currency:coins>
<id:811, amount:2126432612, price:1k, currency:coins>
<id:11230, amount:11230, price:3k, currency:coins>
<id:1065, amount:2126432612, price:2k, currency:coins>
<id:1099, amount:2126432612, price:3k, currency:coins>
<id:1135, amount:2126432612, price:4k, currency:coins>
<id:2487, amount:2126432612, price:3k, currency:coins>
<id:2493, amount:2126432612, price:4k, currency:coins>
<id:2499, amount:2126432612, price:5k, currency:coins>
<id:2489, amount:2126432612, price:4k, currency:coins>
<id:2495, amount:2126432612, price:5k, currency:coins>
<id:2501, amount:2126432612, price:6k, currency:coins>
<id:2491, amount:2126432612, price:6k, currency:coins>
<id:2497, amount:2126432612, price:8k, currency:coins>
<id:2503, amount:2126432612, price:10k, currency:coins>
<id:3749, amount:2126432612, price:50k, currency:coins>
<id:10498, amount:2126432612, price:2k, currency:coins>
<id:10499, amount:2126432612, price:2k, currency:coins>
<id:6322, amount:2126432612, price:10k, currency:coins>
<id:6324, amount:2126432612, price:7k, currency:coins>
<id:6326, amount:2126432612, price:5k, currency:coins>
<id:6328, amount:2126432612, price:5k, currency:coins>
<id:6330, amount:2126432612, price:5k, currency:coins>
}

11 "Pure Supplies" {
<id:6527, amount:2126432612, price:20k, currency:coins>
<id:6528, amount:2126432612, price:50k, currency:coins>
<id:11037, amount:2126432612, price:75k, currency:coins>
<id:4587, amount:2126432612, price:100k, currency:coins>
<id:868, amount:2126432612, price:1k, currency:coins>
<id:7158, amount:2126432612, price:500k, currency:coins>
<id:4153, amount:2126432612, price:300k, currency:coins>
<id:2550, amount:2126432612, price:1k, currency:coins>
<id:2570, amount:2126432612, price:10k, currency:coins>
<id:1725, amount:2126432612, price:3k, currency:coins>
<id:1712, amount:2126432612, price:45k, currency:coins>
<id:11090, amount:2126432612, price:15k, currency:coins>
<id:6106, amount:2126432612, price:1k, currency:coins>
<id:6107, amount:2126432612, price:1k, currency:coins>
<id:6108, amount:2126432612, price:1k, currency:coins>
<id:6109, amount:2126432612, price:1k, currency:coins>
<id:6110, amount:2126432612, price:1k, currency:coins>
<id:6111, amount:2126432612, price:1k, currency:coins>
<id:1169, amount:2126432612, price:500, currency:coins>
<id:1129, amount:2126432612, price:100, currency:coins>
<id:1061, amount:2126432612, price:100, currency:coins>
<id:542, amount:2126432612, price:500, currency:coins>
<id:544, amount:2126432612, price:500, currency:coins>
<id:1540, amount:2126432612, price:3k, currency:coins>
<id:4502, amount:2126432612, price:25k, currency:coins>
<id:4164, amount:2126432612, price:10k, currency:coins>
<id:3105, amount:2126432612, price:1k, currency:coins>
<id:3840, amount:2126432612, price:5k, currency:coins>
<id:3842, amount:2126432612, price:5k, currency:coins>
<id:3844, amount:2126432612, price:5k, currency:coins>
<id:5574, amount:2126432612, price:5k, currency:coins>
<id:5575, amount:2126432612, price:5k, currency:coins>
<id:5576, amount:2126432612, price:5k, currency:coins>
}

12 "Weapons" {
<id:6611, amount:2126432612, price:50k, currency:coins>
<id:1321, amount:2126432612, price:1k, currency:coins>
<id:1323, amount:2126432612, price:2k, currency:coins>
<id:1325, amount:2126432612, price:3k, currency:coins>
<id:1327, amount:2126432612, price:8k, currency:coins>
<id:1329, amount:2126432612, price:10k, currency:coins>
<id:1331, amount:2126432612, price:12k, currency:coins>
<id:1333, amount:2126432612, price:25k, currency:coins>
<id:4587, amount:2126432612, price:100k, currency:coins>
<id:6609, amount:2126432612, price:50k, currency:coins>
<id:1307, amount:2126432612, price:1k, currency:coins>
<id:1309, amount:2126432612, price:2k, currency:coins>
<id:1311, amount:2126432612, price:3k, currency:coins>
<id:1313, amount:2126432612, price:8k, currency:coins>
<id:1315, amount:2126432612, price:10k, currency:coins>
<id:1317, amount:2126432612, price:12k, currency:coins>
<id:1319, amount:2126432612, price:38600, currency:coins>
<id:7158, amount:2126432612, price:500k, currency:coins>
<id:1249, amount:2126432612, price:25k, currency:coins>
<id:1215, amount:2126432612, price:25k, currency:coins>
<id:5698, amount:2126432612, price:50k, currency:coins>
<id:1305, amount:2126432612, price:100k, currency:coins>
<id:1377, amount:2126432612, price:150k, currency:coins>
<id:1434, amount:2126432612, price:40k, currency:coins>
<id:6528, amount:2126432612, price:60k, currency:coins>
<id:4153, amount:2126432612, price:300k, currency:coins>
}

13 "Skill Cape Shop" {
}

14 "Unused Shop" {
}

15 "Slayer Shop" {
<id:4155, amount:2126432612, price:0, currency:slayer>
<id:2528, amount:2126432612, price:1, currency:slayer>
<id:4170, amount:2126432612, price:1, currency:slayer>
<id:6720, amount:2126432612, price:1, currency:slayer>
<id:7159, amount:2126432612, price:1, currency:slayer>
<id:10548, amount:2126432612, price:150, currency:slayer>
<id:10551, amount:2126432612, price:150, currency:slayer>
<id:11665, amount:2126432612, price:50, currency:slayer>
<id:11664, amount:2126432612, price:50, currency:slayer>
<id:11663, amount:2126432612, price:50, currency:slayer>
<id:8839, amount:2126432612, price:50, currency:slayer>
<id:8840, amount:2126432612, price:50, currency:slayer>
<id:8842, amount:2126432612, price:50, currency:slayer>
<id:2577, amount:2126432612, price:150, currency:slayer>
<id:2581, amount:2126432612, price:150, currency:slayer>
<id:7462, amount:2126432612, price:25, currency:slayer>
<id:6914 , amount:2126432612, price:50, currency:slayer>
<id:6889 , amount:2126432612, price:50, currency:slayer>
<id:13263 , amount:2126432612, price:500, currency:slayer>
<id:4151 , amount:2126432612, price:80, currency:slayer>
}

16 "Fancy Clothing Shop" {
<id:9470, amount:2126432612, price:500k, currency:coins>
<id:10394, amount:2126432612, price:500k, currency:coins>
<id:1837, amount:2126432612, price:500k, currency:coins>
<id:2639, amount:2126432612, price:500k, currency:coins>
<id:2641, amount:2126432612, price:500k, currency:coins>
<id:2643, amount:2126432612, price:500k, currency:coins>
<id:5553, amount:2126432612, price:500k, currency:coins>
<id:5554, amount:2126432612, price:500k, currency:coins>
<id:5555, amount:2126432612, price:500k, currency:coins>
<id:5556, amount:2126432612, price:500k, currency:coins>
<id:5557, amount:2126432612, price:500k, currency:coins>
<id:10400, amount:2126432612, price:500k, currency:coins>
<id:10402, amount:2126432612, price:500k, currency:coins>
<id:10404, amount:2126432612, price:500k, currency:coins>
<id:10406, amount:2126432612, price:500k, currency:coins>
<id:10408, amount:2126432612, price:500k, currency:coins>
<id:10410, amount:2126432612, price:500k, currency:coins>
<id:10412, amount:2126432612, price:500k, currency:coins>
<id:10414, amount:2126432612, price:500k, currency:coins>
<id:10416, amount:2126432612, price:500k, currency:coins>
<id:10418, amount:2126432612, price:500k, currency:coins>
<id:6335, amount:2126432612, price:20k, currency:coins>
<id:6337, amount:2126432612, price:20k, currency:coins>
<id:6339, amount:2126432612, price:20k, currency:coins>
}

17 "PvP Shop 2" {
<id:13905, amount:2126432612, price:400, currency:pk>
<id:13899, amount:2126432612, price:400, currency:pk>
<id:13887, amount:2126432612, price:350, currency:pk>
<id:13893, amount:2126432612, price:350, currency:pk>
<id:13864, amount:2126432612, price:350, currency:pk>
<id:13858, amount:2126432612, price:350, currency:pk>
<id:13861, amount:2126432612, price:350, currency:pk>
<id:13896, amount:2126432612, price:350, currency:pk>
<id:13884, amount:2126432612, price:350, currency:pk>
<id:13890, amount:2126432612, price:350, currency:pk>
<id:13876, amount:2126432612, price:350, currency:pk>
<id:13870, amount:2126432612, price:350, currency:pk>
<id:13873, amount:2126432612, price:350, currency:pk>
}

18 "Slayer Rewards" {
<id:4151, amount:2126432612, price:150, currency:slayer>
<id:10548, amount:2126432612, price:150, currency:slayer>
<id:10551, amount:2126432612, price:150, currency:slayer>
<id:11665, amount:2126432612, price:150, currency:slayer>
<id:11664, amount:2126432612, price:150, currency:slayer>
<id:11663, amount:2126432612, price:150, currency:slayer>
<id:8839, amount:2126432612, price:150, currency:slayer>
<id:8840, amount:2126432612, price:150, currency:slayer>
<id:8842, amount:2126432612, price:150, currency:slayer>
<id:2577, amount:2126432612, price:150, currency:slayer>
<id:2581, amount:2126432612, price:150, currency:slayer>
<id:3140, amount:2126432612, price:150, currency:slayer>
<id:4087, amount:2126432612, price:150, currency:slayer>
<id:4585, amount:2126432612, price:150, currency:slayer>
<id:11694, amount:2126432612, price:900, currency:slayer>
<id:11696, amount:2126432612, price:500, currency:slayer>
<id:11698, amount:2126432612, price:500, currency:slayer>
<id:11700, amount:2126432612, price:500, currency:slayer>
<id:15040, amount:2126432612, price:150, currency:slayer>
<id:15037, amount:2126432612, price:150, currency:slayer>
<id:15038, amount:2126432612, price:150, currency:slayer>
<id:15039, amount:2126432612, price:150, currency:slayer>
}

19 "Talismans / Herblore Supplies" {
<id:1438, amount:2126432612, price:1k, currency:coins>
<id:1440, amount:2126432612, price:1k, currency:coins>
<id:1442, amount:2126432612, price:1k, currency:coins>
<id:1444, amount:2126432612, price:1k, currency:coins>
<id:1446, amount:2126432612, price:1k, currency:coins>
<id:1448, amount:2126432612, price:1k, currency:coins>
<id:1452, amount:2126432612, price:1k, currency:coins>
<id:1454, amount:2126432612, price:1k, currency:coins>
<id:1456, amount:2126432612, price:100k, currency:coins>
<id:1458, amount:2126432612, price:35k, currency:coins>
<id:1462, amount:2126432612, price:75k, currency:coins>
<id:221, amount:2126432612, price:1k, currency:coins>
<id:235, amount:2126432612, price:2500, currency:coins>
<id:225, amount:2126432612, price:3200, currency:coins>
<id:223, amount:2126432612, price:4600, currency:coins>
<id:239, amount:2126432612, price:7k, currency:coins>
<id:9736, amount:2126432612, price:7450, currency:coins>
<id:231, amount:2126432612, price:8k, currency:coins>
<id:241, amount:2126432612, price:8260, currency:coins>
<id:245, amount:2126432612, price:8720, currency:coins>
<id:3138, amount:2126432612, price:9k, currency:coins>
<id:247, amount:2126432612, price:9110, currency:coins>
<id:6693, amount:2126432612, price:9450, currency:coins>
<id:9594, amount:2126432612, price:9760, currency:coins>
<id:1975, amount:2126432612, price:1000, currency:coins>
<id:5509, amount:2126432612, price:10k, currency:coins>
<id:5510, amount:2126432612, price:25k, currency:coins>
<id:5512, amount:2126432612, price:50000, currency:coins>
<id:5514, amount:2126432612, price:100000, currency:coins>
}

20 "Hunter Shop" {
<id:10010, amount:2126432612, price:10k, currency:coins>
<id:11259, amount:2126432612, price:10k, currency:coins>
<id:11260, amount:2126432612, price:1500, currency:coins>
<id:10012, amount:2126432612, price:1500, currency:coins>
}

22 "Pet Shop" {
<id:1555, amount:2126432612, price:100k, currency:coins>
<id:1556, amount:2126432612, price:100k, currency:coins>
<id:1557, amount:2126432612, price:100k, currency:coins>
<id:1558, amount:2126432612, price:100k, currency:coins>
<id:1559, amount:2126432612, price:100k, currency:coins>
<id:1560, amount:2126432612, price:100k, currency:coins>
<id:1561, amount:2126432612, price:250k, currency:coins>
<id:1562, amount:2126432612, price:250k, currency:coins>
<id:1563, amount:2126432612, price:250k, currency:coins>
<id:1564, amount:2126432612, price:250k, currency:coins>
<id:1565, amount:2126432612, price:250k, currency:coins>
<id:1566, amount:2126432612, price:250k, currency:coins>
<id:7583, amount:2126432612, price:1m, currency:coins>
<id:7584, amount:2126432612, price:1m, currency:coins>
<id:7585, amount:2126432612, price:1m, currency:coins>
}

23 "Donation Shop 3" {
<id:9921, amount:2126432612, price:2, currency:donator>
<id:9922, amount:2126432612, price:2, currency:donator>
<id:9923, amount:2126432612, price:2, currency:donator>
<id:9924, amount:2126432612, price:2, currency:donator>
<id:9925, amount:2126432612, price:2, currency:donator>
<id:14595, amount:2126432612, price:3, currency:donator>
<id:14602, amount:2126432612, price:3, currency:donator>
<id:14603, amount:2126432612, price:3, currency:donator>
<id:14605, amount:2126432612, price:3, currency:donator>
<id:9920, amount:2126432612, price:10, currency:donator>
<id:1419, amount:2126432612, price:10, currency:donator>
<id:1037, amount:2126432612, price:10, currency:donator>
<id:4566, amount:2126432612, price:10, currency:donator>
<id:19888, amount:2126432612, price:15, currency:donator>
<id:13101, amount:2126432612, price:10, currency:donator>
<id:20044, amount:2126432612, price:5, currency:donator>
<id:20045, amount:2126432612, price:5, currency:donator>
<id:20046, amount:2126432612, price:5, currency:donator>
<id:15422, amount:2126432612, price:5, currency:donator>
<id:15423, amount:2126432612, price:5, currency:donator>
<id:15425, amount:2126432612, price:5, currency:donator>
<id:14076, amount:2126432612, price:5, currency:donator>
<id:14077, amount:2126432612, price:5, currency:donator>
<id:14081, amount:2126432612, price:5, currency:donator>
<id:11789, amount:2126432612, price:10, currency:donator>
<id:10507, amount:2126432612, price:10, currency:donator>
<id:6856, amount:2126432612, price:3, currency:donator>
<id:6857, amount:2126432612, price:3, currency:donator>
<id:6858, amount:2126432612, price:3, currency:donator>
<id:6859, amount:2126432612, price:3, currency:donator>
<id:6860, amount:2126432612, price:3, currency:donator>
